City,Latitude,Longitude
Adana,37.0,35.3213
Adıyaman,37.7648,38.2786
Afyonkarahisar,38.7638,30.5403
Ağrı,39.7191,43.0503
Amasya,40.6499,35.8353
Ankara,39.9208,32.8541
Antalya,36.8841,30.7056
Artvin,41.1828,41.8183
Aydın,37.8481,27.8456
Balıkesir,39.6484,27.8826
Bilecik,40.1501,29.9833
Bingöl,38.8847,40.4939
Bitlis,38.4,42.1167
Bolu,40.576,31.5788
Burdur,37.7203,30.2908
Bursa,40.1828,29.0664
Çanakkale,40.1553,26.4142
Çankırı,40.6013,33.6134
Çorum,40.5506,34.9556
Denizli,37.7765,29.0864
Diyarbakır,37.9144,40.2306
Edirne,41.6818,26.5623
Elazığ,38.6753,39.2232
Erzincan,39.75,39.5
Erzurum,39.9043,41.2679
Eskişehir,39.7767,30.5206
Gaziantep,37.0662,37.3833
Giresun,40.9128,38.3895
Gümüşhane,40.46,39.4814
Hakkari,37.5744,43.7408
Hatay,36.4018,36.3498
Isparta,37.7648,30.5566
Mersin,36.8,34.6333
İstanbul,41.0082,28.9784
İzmir,38.4192,27.1287
Kars,40.6167,43.1
Kastamonu,41.3887,33.7827
Kayseri,38.7312,35.4787
Kırklareli,41.7351,27.2257
Kırşehir,39.1458,34.16
Kocaeli,40.8533,29.8815
Konya,37.8714,32.4846
Kütahya,39.4167,29.9833
Malatya,38.3552,38.3095
Manisa,38.6191,27.4289
Kahramanmaraş,37.5736,36.9371
Mardin,37.3127,40.7358
Muğla,37.2153,28.3636
Muş,38.9462,41.7539
Nevşehir,38.6244,34.7161
Niğde,37.9667,34.6833
Ordu,40.9839,37.8764
Rize,41.0201,40.5234
Sakarya,40.7654,30.3915
Samsun,41.2867,36.33
Siirt,37.9274,41.945
Sinop,42.0268,35.1626
Sivas,39.7477,37.0179
Tekirdağ,40.9833,27.5167
Tokat,40.3167,36.55
Trabzon,41.0015,39.7178
Tunceli,39.1069,39.5483
Şanlıurfa,37.1591,38.7969
Uşak,38.6823,29.4082
Van,38.4942,43.38
Yozgat,39.8181,34.8147
Zonguldak,41.4564,31.7987
Aksaray,38.3687,34.036
Bayburt,40.2552,40.2249
Karaman,37.1759,33.2287
Kırıkkale,39.8468,33.5153
Batman,37.8812,41.1351
Şırnak,37.5164,42.461
Bartın,41.635,32.3375
Ardahan,41.1105,42.7022
Iğdır,39.8881,44.0048
Yalova,40.65,29.2667
Karabük,41.2061,32.6204
Kilis,36.7184,37.1212
Osmaniye,37.0742,36.2464
Düzce,40.8438,31.1565
